alemania,mexico,,total,,,,
405.8679,1095.8742,0-4,1501.7421,,,,
382.2225,1121.0511,5-9,1503.2736,,,,
381.1645,1114.087,10-14,1495.2515,,,,
411.8971,1120.9593,15-19,1532.8564,,,,
455.3436,1093.9819,20-24,1549.3255,,,,
482.3925,1079.5774,25-29,1561.9699,,,,
544.1865,978.988,30-34,1523.1745,,,,
543.0155,909.015,35-39,1452.0305,,,,
505.9667,853.1964,40-44,1359.1631,,,,
518.3684,801.5794,45-49,1319.9478,,,,
668.1221,692.4917,50-54,1360.6138,,,,
680.7172,583.3054,55-59,1264.0226,,,,
582.0703,466.9454,60-64,1049.0157,,,,
482.3439,359.5499,65-69,841.8938,,,,
383.3823,246.6707,70-74,630.053,,,,
363.7591,172.2006,75-79,535.9597,,,,
325.9094,105.8504,80-84,431.7598,,,,
261.665,97.9515,85 y +,359.6165,,,,
